 ,Area,Mean,Min,Max,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,405,255,255,255,90.770,0.618,33.287,134,50,57.265,21.293,1.508,0.663,0.834
2,105,255,255,255,42.385,0.734,15.811,149,48,55.305,11.421,1.271,0.787,0.875
3,81,255,255,255,46.527,0.470,15.652,74,50,26.565,11.000,1.634,0.612,0.733
4,50,255,255,255,34.042,0.542,13.601,86,49,17.103,7.242,2.224,0.450,0.699
5,1099,255,255,255,170.066,0.477,63.530,116,107,61.821,29.230,2.069,0.483,0.852
6,105,255,255,255,57.012,0.406,18.248,42,82,9.462,13.034,1.298,0.770,0.625
7,75,255,255,255,48.527,0.400,17.804,4,73,128.157,9.200,2.120,0.472,0.676
8,329,255,255,255,86.811,0.549,29.069,169,110,86.055,17.351,1.813,0.551,0.813
9,58,255,255,255,40.284,0.449,13.454,56,100,48.013,7.967,1.792,0.558,0.695
10,102,255,255,255,50.527,0.502,19.235,145,109,8.973,9.839,2.040,0.490,0.758
11,55,255,255,255,34.627,0.576,13.038,51,112,57.529,9.179,1.494,0.669,0.714
12,177,255,255,255,55.355,0.726,18.358,153,120,29.358,15.598,1.182,0.846,0.855
13,714,255,255,255,137.723,0.473,45.354,151,147,165.964,27.577,1.339,0.747,0.800
14,89,255,255,255,51.941,0.415,19.105,113,150,6.009,8.000,2.600,0.385,0.745
15,124,255,255,255,55.497,0.506,18.111,101,154,173.660,13.435,1.039,0.963,0.689
16,139,255,255,255,59.113,0.500,19.313,127,159,21.251,13.000,1.397,0.716,0.751
17,63,255,255,255,43.941,0.410,13.928,146,152,158.962,10.000,1.361,0.735,0.685
18,162,255,255,255,69.841,0.417,23.345,74,154,99.866,13.000,1.832,0.546,0.728
19,208,255,255,255,72.912,0.492,22.804,113,168,15.255,18.000,1.400,0.715,0.766
20,72,255,255,255,36.870,0.666,13.601,144,157,107.103,8.904,1.752,0.571,0.796
21,166,255,255,255,63.841,0.512,21.633,96,161,146.310,14.000,1.475,0.678,0.834
22,89,255,255,255,40.042,0.698,13.000,132,168,157.380,10.000,1.092,0.915,0.864
23,52,255,255,255,28.042,0.831,11.180,150,169,153.435,7.091,1.802,0.555,0.839
