 ,Area,Mean,Min,Max,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,59,255,255,255,28.971,0.883,11.180,264,4,169.695,7.000,1.587,0.630,0.887
2,155,255,255,255,65.154,0.459,17.464,86,28,66.371,14.849,1.214,0.824,0.801
3,159,255,255,255,62.912,0.505,17.720,217,14,106.390,15.205,1.246,0.802,0.797
4,65,255,255,255,41.113,0.483,11.662,238,18,149.036,9.000,1.141,0.877,0.788
5,81,255,255,255,36.284,0.773,13.038,45,26,122.471,9.285,1.581,0.632,0.857
6,137,255,255,255,61.255,0.459,21.840,313,70,164.055,12.790,1.588,0.630,0.733
7,54,255,255,255,36.042,0.522,12.083,220,83,24.444,8.000,1.684,0.594,0.761
8,93,255,255,255,52.184,0.429,15.264,242,86,31.608,10.733,1.397,0.716,0.753
9,50,255,255,255,34.284,0.535,13.928,425,98,158.962,6.325,2.646,0.378,0.735
10,73,255,255,255,37.698,0.645,13.342,555,115,167.005,10.000,1.350,0.741,0.764
11,60,255,255,255,41.113,0.446,12.042,225,117,131.634,9.839,1.231,0.812,0.789
12,60,255,255,255,43.113,0.406,15.232,249,122,156.801,8.538,2.364,0.423,0.670
13,56,255,255,255,37.698,0.495,11.705,263,126,19.983,9.000,1.254,0.798,0.747
14,55,255,255,255,36.042,0.532,11.402,223,136,37.875,8.000,1.255,0.797,0.821
15,80,255,255,255,49.355,0.413,15.811,344,132,124.695,12.021,1.378,0.726,0.656
16,114,255,255,255,59.841,0.400,19.313,151,177,68.749,10.733,2.289,0.437,0.697
17,86,255,255,255,42.870,0.588,14.765,275,168,151.699,10.590,1.475,0.678,0.793
18,91,255,255,255,52.184,0.420,19.105,339,194,47.121,9.192,2.377,0.421,0.749
19,153,255,255,255,69.255,0.401,22.804,326,185,142.125,12.200,1.911,0.523,0.754
20,128,255,255,255,62.326,0.414,16.643,155,195,122.735,13.864,1.164,0.859,0.757
21,81,255,255,255,47.355,0.454,15.000,136,195,143.130,10.672,1.507,0.663,0.707
22,55,255,255,255,33.799,0.605,12.530,344,200,151.390,7.452,1.738,0.575,0.791
23,61,255,255,255,37.113,0.557,12.369,253,207,165.964,8.713,1.618,0.618,0.744
24,62,255,255,255,37.456,0.555,12.806,353,216,51.340,8.728,1.591,0.628,0.770
25,95,255,255,255,45.698,0.572,13.892,575,272,59.744,10.000,1.320,0.758,0.830
26,63,255,255,255,42.284,0.443,13.342,43,271,167.005,9.400,1.478,0.677,0.704
27,65,255,255,255,45.113,0.401,15.811,51,283,55.305,9.012,2.000,0.500,0.634
28,67,255,255,255,44.770,0.420,13.928,183,277,21.038,10.461,1.186,0.843,0.654
29,61,255,255,255,42.184,0.431,12.530,140,279,151.390,9.000,1.276,0.784,0.744
30,117,255,255,255,49.355,0.604,15.000,22,291,126.870,12.551,1.111,0.900,0.821
31,58,255,255,255,42.184,0.410,12.806,99,322,128.660,9.000,1.440,0.695,0.707
32,101,255,255,255,55.255,0.416,16.763,170,344,72.646,13.313,1.225,0.816,0.641
33,108,255,255,255,44.870,0.674,17.029,185,330,130.236,11.587,1.448,0.691,0.854
34,186,255,255,255,72.669,0.443,22.561,171,345,167.196,13.859,1.839,0.544,0.793
35,52,255,255,255,33.698,0.575,12.806,275,362,51.340,7.778,1.658,0.603,0.765
36,59,255,255,255,40.284,0.457,15.232,289,358,113.199,7.000,2.054,0.487,0.715
37,57,255,255,255,37.456,0.511,12.207,243,434,145.008,9.000,1.163,0.860,0.750
38,60,255,255,255,39.698,0.478,11.662,248,452,59.036,9.700,1.124,0.890,0.784
39,62,255,255,255,41.698,0.448,12.728,270,465,45.000,9.192,1.563,0.640,0.721
40,58,255,255,255,33.213,0.661,13.000,94,489,67.380,8.171,1.666,0.600,0.811
41,65,255,255,255,37.113,0.593,14.213,96,495,39.289,7.766,2.072,0.483,0.798
42,108,255,255,255,53.598,0.472,20.809,444,496,125.218,9.370,2.419,0.413,0.725
43,51,255,255,255,38.042,0.443,14.560,39,508,105.945,7.000,2.212,0.452,0.745
44,229,255,255,255,83.640,0.411,25.632,470,532,159.444,16.971,1.720,0.581,0.792
45,79,255,255,255,49.012,0.413,13.454,38,536,131.987,11.000,1.019,0.982,0.712
46,168,255,255,255,66.912,0.472,20.224,8,542,171.469,16.086,1.350,0.741,0.699
47,59,255,255,255,35.799,0.579,12.649,19,548,161.565,7.000,1.519,0.658,0.819
48,84,255,255,255,39.941,0.662,13.601,3,564,162.897,10.286,1.428,0.700,0.828
49,108,255,255,255,56.184,0.430,17.889,14,580,63.435,12.000,1.571,0.637,0.718
50,66,255,255,255,38.870,0.549,12.207,34,568,124.992,9.066,1.455,0.687,0.772
51,98,255,255,255,47.698,0.541,16.401,123,573,127.569,9.416,1.813,0.552,0.820
52,52,255,255,255,40.284,0.403,13.342,137,576,102.995,6.000,2.076,0.482,0.765
53,51,255,255,255,30.870,0.673,12.806,127,587,141.340,6.914,1.867,0.535,0.810
